Nome,Cognome,Ruolo,Squadra,Cr
Nikola,Jokic,Center,Denver Nuggets,"25,0"
Luka,Doncic,Guard,Dallas Mavericks,"24,0"
Giannis,Antetokounmpo,Forward,Milwaukee Bucks,"23,5"
Joel,Embiid,Center,Philadelphia 76ers,"23,0"
Anthony,Davis,Center,Los Angeles Lakers,"22,5"
Domantas,Sabonis,Center,Sacramento Kings,"22,0"
Shai,Gilgeous-Alexander,Guard,Oklahoma City Thunder,"21,5"
Victor,Wembanyama,Forward,San Antonio Spurs,"21,0"
Tyrese,Haliburton,Guard,Indiana Pacers,"20,5"
Lebron,James,Forward,Los Angeles Lakers,"20,0"
Kevin,Durant,Forward,Phoenix Suns,"19,5"
Jayson,Tatum,Forward,Boston Celtics,"19,0"
Trae,Young,Guard,Atlanta Hawks,"18,5"
Ja,Morant,Guard,Memphis Grizzlies,"18,5"
Stephen,Curry,Guard,Golden State Warriors,"18,0"
Devin,Booker,Guard,Phoenix Suns,"18,0"
Kyrie,Irving,Guard,Dallas Mavericks,"17,5"
Damian,Lillard,Guard,Milwaukee Bucks,"17,5"
James,Harden,Guard,Los Angeles Clippers,"17,0"
Lauri,Markkanen,Forward,Utah Jazz,"17,0"
Donovan,Mitchell,Guard,Cleveland Cavaliers,"16,5"
Bam,Adebayo,Center,Miami Heat,"16,5"
Jimmy,Butler,Forward,Miami Heat,"16,5"
Karl-Anthony,Towns,Center,New York Knicks,"16,5"
Lamelo,Ball,Guard,Charlotte Hornets,"16,0"
Kawhi,Leonard,Forward,Los Angeles Clippers,"16,0"
Anthony,Edwards,Guard,Minnesota Timberwolves,"16,0"
Zion,Williamson,Forward,New Orleans Pelicans,"16,0"
Scottie,Barnes,Forward,Toronto Raptors,"16,0"
Pascal,Siakam,Forward,Indiana Pacers,"15,5"
Jalen,Brunson,Guard,New York Knicks,"15,5"
Paul,George,Forward,Philadelphia 76ers,"15,5"
Tyrese,Maxey,Guard,Philadelphia 76ers,"15,5"
De'Aaron,Fox,Guard,Sacramento Kings,"15,5"
Jaylen,Brown,Forward,Boston Celtics,"15,0"
Jarrett,Allen,Center,Cleveland Cavaliers,"15,0"
Alperen,Sengun,Center,Houston Rockets,"15,0"
Julius,Randle,Forward,Minnesota Timberwolves,"15,0"
Kristaps,Porzingis,Forward,Boston Celtics,"14,5"
Nikola,Vucevic,Center,Chicago Bulls,"14,5"
Jamal,Murray,Guard,Denver Nuggets,"14,5"
Deandre,Ayton,Center,Portland Trail Blazers,"14,5"
Darius,Garland,Guard,Cleveland Cavaliers,"14,0"
Jalen,Duren,Center,Detroit Pistons,"14,0"
Jaren,Jackson Jr,Forward,Memphis Grizzlies,"14,0"
Rudy,Gobert,Center,Minnesota Timberwolves,"14,0"
Dejounte,Murray,Guard,New Orleans Pelicans,"14,0"
Paolo,Banchero,Forward,Orlando Magic,"14,0"
Jrue,Holiday,Guard,Boston Celtics,"13,5"
Fred,Vanvleet,Guard,Houston Rockets,"13,5"
Brandon,Ingram,Forward,New Orleans Pelicans,"13,5"
Chet,Holmgren,Center,Oklahoma City Thunder,"13,5"
Bradley,Beal,Guard,Phoenix Suns,"13,5"
Kyle,Kuzma,Forward,Washington Wizards,"13,5"
Miles,Bridges,Forward,Charlotte Hornets,"13,0"
Evan,Mobley,Forward,Cleveland Cavaliers,"13,0"
Cade,Cunningham,Guard,Detroit Pistons,"13,0"
Myles,Turner,Center,Indiana Pacers,"13,0"
Franz,Wagner,Forward,Orlando Magic,"13,0"
Demar,Derozan,Forward,Sacramento Kings,"13,0"
Nicolas,Claxton,Center,Brooklyn Nets,"12,5"
Desmond,Bane,Guard,Memphis Grizzlies,"12,5"
Mikal,Bridges,Forward,New York Knicks,"12,5"
Jalen,Johnson,Forward,Atlanta Hawks,"12,0"
Aaron,Gordon,Forward,Denver Nuggets,"12,0"
Jalen,Williams,Forward,Oklahoma City Thunder,"12,0"
Jerami,Grant,Forward,Portland Trail Blazers,"12,0"
Jonas,Valanciunas,Center,Washington Wizards,"12,0"
Derrick,White,Guard,Boston Celtics,"11,5"
Jabari,Smith Jr,Forward,Houston Rockets,"11,5"
Jalen,Green,Guard,Houston Rockets,"11,5"
CJ,Mccollum,Guard,New Orleans Pelicans,"11,5"
Clint,Capela,Center,Atlanta Hawks,"11,0"
Joe,Mazzulla,Head Coach,Boston Celtics,"11,0"
Brandon,Miller,Forward,Charlotte Hornets,"11,0"
Josh,Giddey,Guard,Chicago Bulls,"11,0"
Zach,Lavine,Guard,Chicago Bulls,"11,0"
Jason,Kidd,Head Coach,Dallas Mavericks,"11,0"
Klay,Thompson,Guard,Dallas Mavericks,"11,0"
Draymond,Green,Forward,Golden State Warriors,"11,0"
Austin,Reaves,Guard,Los Angeles Lakers,"11,0"
Tyler,Herro,Guard,Miami Heat,"11,0"
Josh,Hart,Guard,New York Knicks,"11,0"
Isaiah,Hartenstein,Center,Oklahoma City Thunder,"11,0"
Wendell,Carter Jr,Center,Orlando Magic,"11,0"
Jusuf,Nurkic,Center,Phoenix Suns,"11,0"
Devin,Vassell,Guard,San Antonio Spurs,"11,0"
RJ,Barrett,Forward,Toronto Raptors,"11,0"
John,Collins,Forward,Utah Jazz,"11,0"
P.J.,Washington,Forward,Dallas Mavericks,"10,5"
Mike,Malone,Head Coach,Denver Nuggets,"10,5"
Ausar,Thompson,Guard,Detroit Pistons,"10,5"
Tobias,Harris,Forward,Detroit Pistons,"10,5"
Brook,Lopez,Center,Milwaukee Bucks,"10,5"
Khris,Middleton,Forward,Milwaukee Bucks,"10,5"
Chris,Finch,Head Coach,Minnesota Timberwolves,"10,5"
Anfernee,Simons,Guard,Portland Trail Blazers,"10,5"
Keegan,Murray,Forward,Sacramento Kings,"10,5"
Chris,Paul,Guard,San Antonio Spurs,"10,5"
Mark,Williams,Center,Charlotte Hornets,"10,0"
